PromedionaSueldos;target;No_Radicacion;FechaCreacion;Id_Tramite;Tramite;id_TipoLiquidacion;TipoLiquidacion;Id_Instancia;Instancia;TiemposPublicos;Id_TipoDoc;Documento;CodigoDane;Id_TipoDeSolicitante;TipoDeSolicitante;Id_Origen;Origen;Id_proceso_Entrada;proceso_Entrada;Id_Oficina;Oficina
12;CANDIDATOnaAUTOMATICO;2016_12598195_6;44931;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73349;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;56;OFICINAnaSECCIONALnaCnaLAnaDORADA
1;CANDIDATOnaAUTOMATICO;2017_12796339_6;44883;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;15;OFICINAnaSECCIONALnaAnaCALLEna94
3,2;CANDIDATOnaAUTOMATICO;2017_2311736_6;44949;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;8001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
13,8;CANDIDATOnaAUTOMATICO;2017_2372631_6;44971;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;78;RotondanaVirtualnaPersoneríanaMedellín
11,5;CANDIDATOnaAUTOMATICO;2017_3211662_9_6;44938;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;19;OFICINAnaSECCIONALnaAnaIBAGUE
9,3;CANDIDATOnaAUTOMATICO;2017_3628563_6_6;44945;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;20001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;47;OFICINAnaSECCIONALnaBnaVALLEDUPAR
1,01;CANDIDATOnaAUTOMATICO;2018_12552451_10_6;43794;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;73001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;73;REGIONALnaSUR
4,9;CANDIDATOnaAUTOMATICO;2018_14077556_9_6;44890;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;83;SUPERCADEnaCARRERAna30
6,7;CANDIDATOnaAUTOMATICO;2018_14670506_6;44883;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;68679;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;62;OFICINAnaSECCIONALnaCnaSANnaGIL
11,2;CANDIDATOnaAUTOMATICO;2018_14931123_6;44853;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;54001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;18;OFICINAnaSECCIONALnaAnaCUCUTA
1;CANDIDATOnaAUTOMATICO;2018_4645872_6;44994;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;83;SUPERCADEnaCARRERAna30
11,7;CANDIDATOnaAUTOMATICO;2018_8506386_6;44964;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;13001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;16;OFICINAnaSECCIONALnaAnaCARTAGENA
