target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
CANDIDATO AUTOMATICO;1;30/01/2023;0;1;1;1;0;1;;11;1;1;8;1;
CANDIDATO AUTOMATICO;1;21/12/2022;0;7;1;1;0;1;;1;1;1;83;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;14;1;1;0;1;;1;1;1;70;1;
CANDIDATO AUTOMATICO;1;3/02/2023;0;1;1;1;0;1;;11;1;1;20;1;
CANDIDATO AUTOMATICO;1;15/03/2023;0;1;1;1;0;1;;11;1;1;28;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;7;1;1;0;1;;1;1;1;8;1;
CANDIDATO AUTOMATICO;1;11/01/2023;0;7;1;1;0;1;;1;1;1;26;1;
CANDIDATO AUTOMATICO;1;23/02/2023;0;1;1;1;0;1;;18;1;1;24;1;
CANDIDATO AUTOMATICO;1;22/02/2023;0;7;1;1;0;1;;1;1;1;83;1;
CANDIDATO AUTOMATICO;1;17/11/2022;0;14;1;1;0;1;;1;1;1;70;1;
CANDIDATO AUTOMATICO;1;16/01/2023;0;7;1;1;0;1;;1;1;1;25;1;
CANDIDATO AUTOMATICO;1;20/02/2023;0;1;1;1;0;1;;18;1;1;15;1;
CANDIDATO AUTOMATICO;1;24/11/2022;0;7;1;1;0;1;;1;1;1;13;1;
CANDIDATO AUTOMATICO;1;25/11/2022;0;7;1;1;0;1;;1;1;1;83;1;
CANDIDATO AUTOMATICO;1;6/02/2023;0;7;1;1;0;1;;6;1;1;28;1;
CANDIDATO AUTOMATICO;1;30/01/2023;0;1;1;1;0;1;;11;1;1;70;1;
CANDIDATO AUTOMATICO;1;8/03/2023;0;1;1;1;0;1;;18;1;1;71;1;
CANDIDATO AUTOMATICO;1;6/03/2023;0;1;1;1;0;1;;11;1;1;64;1;
CANDIDATO AUTOMATICO;1;22/02/2023;0;1;1;1;0;1;;11;1;1;36;1;
