target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;1;44944;0;38;1;1;0;1;;19;1;1;36;1;
;1;44956;0;10;1;1;0;1;;12;1;1;70;1;
;1;44914;0;2;1;1;0;1;;1;1;1;10;1;
;1;44889;0;14;2;1;0;1;;1;1;1;26;1;
;1;44974;0;7;2;1;0;1;;6;1;1;17;1;
;1;44936;0;15;1;1;0;1;;4;1;1;49;1;
;1;44967;0;32;1;2;0;1;;6;1;1;15;1;
;1;44907;0;16;1;1;0;1;;7;1;1;9;1;
;1;44931;0;38;1;1;0;1;;12;1;1;14;1;
;1;44945;0;38;1;1;0;1;;19;1;1;14;1;
;1;44963;0;10;1;1;0;1;;9;1;1;6;1;
;1;44946;0;10;1;1;0;1;;12;1;1;29;1;
;1;44963;0;25;1;2;0;1;;18;1;1;8;1;
;1;44966;0;25;2;1;0;1;;6;1;1;9;1;
;1;44977;0;38;1;1;0;1;;19;1;1;26;1;
;1;44978;0;6;1;1;0;1;;8;1;1;77;1;
;1;44952;0;38;1;1;0;1;;12;1;1;32;1;
;1;44901;0;18;1;1;0;1;;7;1;1;64;1;
;1;44960;0;8;1;1;0;1;;3;1;1;70;1;
;1;44901;0;10;1;1;0;1;;15;1;1;43;1;
;1;44979;0;25;1;1;0;1;;17;1;1;9;1;
;1;44930;0;14;2;1;0;1;;6;1;1;26;1;
;1;44974;0;10;1;1;0;1;;12;1;1;64;1;
;1;44916;0;14;2;1;0;1;;6;1;1;83;1;
;1;44944;0;38;1;1;0;1;;12;1;1;36;1;
;1;44937;0;14;2;1;0;1;;1;1;1;11;1;
;1;44977;0;6;1;1;0;1;;9;1;1;23;1;
;1;44958;0;8;1;1;0;1;;3;1;1;70;1;
;1;44980;0;10;1;1;0;1;;10;1;1;15;1;
;1;44963;0;18;1;1;0;1;;5;1;1;28;1;
;1;44991;0;23;2;2;0;1;;1;1;1;26;1;
;1;44956;0;38;1;1;0;1;;13;1;1;6;1;
;1;44967;0;38;1;1;0;1;;12;1;1;6;1;
