No_Radicacion;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado;Grupotrabajo;Salarioprom;Target;salariosMin
2023_587678;1;44938;0;7;1;1;0;1;;1;1;1;47;1;;;;CANDIDATO AUTOMATICO;8
2023_4048652;2;45000;0;7;1;1;0;1;;1;1;1;35;1;1;;;CANDIDATO AUTOMATICO;8
2023_800409;2;44943;0;14;1;1;0;1;;1;1;1;64;1;1;;;CANDIDATO AUTOMATICO;8
2022_18308265;1;44908;0;14;1;1;0;1;;6;1;1;43;1;;;;CANDIDATO AUTOMATICO;9
2023_517974;1;44937;0;7;1;1;0;1;;1;1;1;42;1;;;;CANDIDATO AUTOMATICO;9
2023_14796;2;44928;0;14;1;1;0;1;;1;1;1;11;1;1;;;CANDIDATO AUTOMATICO;9
2023_741570;1;44942;0;14;1;1;0;1;;1;1;1;6;1;;;;CANDIDATO AUTOMATICO;10
2023_1691528;2;44958;0;7;1;1;0;1;;1;1;1;12;1;1;;;CANDIDATO AUTOMATICO;10
2023_737853;1;44942;0;7;1;1;0;1;;1;1;1;5;1;;;;CANDIDATO AUTOMATICO;11
2022_18879472;2;44918;0;14;1;1;0;1;;1;1;1;70;1;1;;;CANDIDATO AUTOMATICO;11
2023_1175125;2;44950;0;1;1;1;0;1;;11;1;1;28;1;1;;;CANDIDATO AUTOMATICO;11
2023_2777030;1;44978;0;1;1;1;0;1;;18;1;1;15;1;;;;CANDIDATO AUTOMATICO;12
2022_18493459;1;44911;0;1;1;1;0;1;;6;1;1;79;1;;;;CANDIDATO AUTOMATICO;13
2023_898982;1;44944;0;1;1;1;0;1;;11;1;1;20;1;;;;CANDIDATO AUTOMATICO;13
2022_18277194;2;44907;0;14;1;1;0;1;;1;1;1;70;1;1;;;CANDIDATO AUTOMATICO;13
2022_18503030;2;44911;0;1;1;1;0;1;;18;1;1;15;1;1;;;CANDIDATO AUTOMATICO;14
2023_24451;2;44928;0;1;1;1;0;1;;11;1;1;84;1;1;;;CANDIDATO AUTOMATICO;14
2023_3034481;1;44981;0;1;1;1;0;1;;11;1;1;28;1;;;;CANDIDATO AUTOMATICO;15
